,image,status_code,target
0,a01-000u-00-00.png,ok,A
1,a01-000u-00-01.png,ok,MOVE
2,a01-000u-00-02.png,ok,to
3,a01-000u-00-03.png,ok,stop
4,a01-000u-00-04.png,ok,Mr.
5,a01-000u-00-05.png,ok,Gaitskell
6,a01-000u-00-06.png,ok,from
7,a01-000u-01-00.png,ok,nominating
8,a01-000u-01-01.png,ok,any
9,a01-000u-01-02.png,ok,more
10,a01-000u-01-03.png,ok,Labour
11,a01-000u-01-04.png,ok,life
12,a01-000u-01-05.png,ok,Peers
13,a01-000u-02-00.png,ok,is
14,a01-000u-02-01.png,ok,to
15,a01-000u-02-02.png,ok,be
16,a01-000u-02-03.png,ok,made
17,a01-000u-02-04.png,ok,at
18,a01-000u-02-05.png,ok,a
19,a01-000u-02-06.png,ok,meeting
20,a01-000u-02-07.png,ok,of
21,a01-000u-02-08.png,ok,Labour
29,a01-000u-04-00.png,ok,put
30,a01-000u-04-01.png,ok,down
31,a01-000u-04-02.png,ok,a
32,a01-000u-04-03.png,ok,resolution
33,a01-000u-04-04.png,ok,on
34,a01-000u-04-05.png,ok,the
35,a01-000u-04-06.png,ok,subject
45,a01-000u-06-00.png,ok,Griffiths
46,a01-000u-06-01.png,ok,","
47,a01-000u-06-02.png,ok,P
48,a01-000u-06-03.png,ok,for
49,a01-000u-06-04.png,ok,Manchester
50,a01-000u-06-05.png,ok,Exchange
51,a01-000u-06-06.png,ok,.
52,a01-000x-00-00.png,ok,A
53,a01-000x-00-01.png,ok,MOVE
54,a01-000x-00-02.png,ok,to
55,a01-000x-00-03.png,ok,stop
56,a01-000x-00-04.png,ok,Mr.
57,a01-000x-00-05.png,ok,Gaitskell
58,a01-000x-00-06.png,ok,from
59,a01-000x-00-07.png,ok,nominating
60,a01-000x-01-00.png,ok,any
61,a01-000x-01-01.png,ok,more
62,a01-000x-01-02.png,ok,Labour
63,a01-000x-01-03.png,ok,life
64,a01-000x-01-04.png,ok,Peers
65,a01-000x-01-05.png,ok,is
66,a01-000x-01-06.png,ok,to
67,a01-000x-01-07.png,ok,be
68,a01-000x-01-08.png,ok,made
69,a01-000x-01-09.png,ok,at
70,a01-000x-01-10.png,ok,a
71,a01-000x-02-00.png,ok,meeting
72,a01-000x-02-01.png,ok,of
73,a01-000x-02-02.png,ok,Labour
74,a01-000x-02-03.png,ok,Ps
75,a01-000x-02-04.png,ok,tomorrow
76,a01-000x-02-05.png,ok,.
77,a01-000x-02-06.png,ok,Mr.
78,a01-000x-02-07.png,ok,Michael
79,a01-000x-03-00.png,ok,Foot
80,a01-000x-03-01.png,ok,has
81,a01-000x-03-02.png,ok,put
82,a01-000x-03-03.png,ok,down
83,a01-000x-03-04.png,ok,a
84,a01-000x-03-05.png,ok,resolution
85,a01-000x-03-06.png,ok,on
86,a01-000x-03-07.png,ok,the
87,a01-000x-03-08.png,ok,subject
88,a01-000x-04-00.png,ok,and
89,a01-000x-04-01.png,ok,he
90,a01-000x-04-02.png,ok,is
91,a01-000x-04-03.png,ok,to
92,a01-000x-04-04.png,ok,be
93,a01-000x-04-05.png,ok,backed
94,a01-000x-04-06.png,ok,by
95,a01-000x-04-07.png,ok,Mr.
96,a01-000x-04-08.png,ok,Will
97,a01-000x-04-09.png,ok,Griffiths
98,a01-000x-04-10.png,ok,","
99,a01-000x-05-00.png,ok,P
100,a01-000x-05-01.png,ok,for
101,a01-000x-05-02.png,ok,Manchester
102,a01-000x-05-03.png,ok,Exchange
103,a01-000x-05-04.png,ok,.
104,a01-003-00-00.png,ok,Though
105,a01-003-00-01.png,ok,they
106,a01-003-00-02.png,ok,may
107,a01-003-00-03.png,ok,gather
108,a01-003-00-04.png,ok,some
109,a01-003-00-05.png,ok,Left-wing
110,a01-003-00-06.png,ok,support
111,a01-003-00-07.png,ok,","
112,a01-003-00-08.png,ok,a
113,a01-003-01-00.png,ok,large
114,a01-003-01-01.png,ok,majority
115,a01-003-01-02.png,ok,of
116,a01-003-01-03.png,ok,Labour
117,a01-003-01-04.png,ok,Ps
118,a01-003-01-05.png,ok,are
119,a01-003-01-06.png,ok,likely
120,a01-003-01-07.png,ok,to
121,a01-003-02-00.png,ok,turn
122,a01-003-02-01.png,ok,down
123,a01-003-02-02.png,ok,the
124,a01-003-02-03.png,ok,Foot-Griffiths
125,a01-003-02-04.png,ok,resolution
126,a01-003-02-05.png,ok,.
127,a01-003-02-06.png,ok,Mr.
128,a01-003-03-00.png,ok,Foot's
129,a01-003-03-01.png,ok,line
130,a01-003-03-02.png,ok,will
131,a01-003-03-03.png,ok,be
132,a01-003-03-04.png,ok,that
133,a01-003-03-05.png,ok,as
134,a01-003-03-06.png,ok,Labour
135,a01-003-03-07.png,ok,Ps
136,a01-003-04-00.png,ok,opposed
137,a01-003-04-01.png,ok,the
138,a01-003-04-02.png,ok,Government
139,a01-003-04-03.png,ok,Bill
140,a01-003-04-04.png,ok,which
141,a01-003-04-05.png,ok,brought
142,a01-003-05-00.png,ok,life
143,a01-003-05-01.png,ok,peers
144,a01-003-05-02.png,ok,into
145,a01-003-05-03.png,ok,existence
146,a01-003-05-04.png,ok,","
147,a01-003-05-05.png,ok,they
148,a01-003-05-06.png,ok,should
149,a01-003-05-07.png,ok,not
150,a01-003-06-00.png,ok,now
151,a01-003-06-01.png,ok,put
